+----+--------------------------------------------------------------------------------+-------+---------------------+---------------------+---------------------+------------------------------------------------------------------+
| id |                                    filename                                    |  mode |        atime        |        mtime        |        ctime        |                               hash                               |
| 25 |          D:\магистратура\123\123\.git\hooks\prepare-commit-msg.sample          | 33206 | 2023-01-20 16:40:38 | 1970-01-01 12:13:26 | 2023-01-20 15:40:14 | e9ddcaa4189fddd25ed97fc8c789eca7b6ca16390b2392ae3276f0c8e1aa4619 |
| 26 |           D:\магистратура\123\123\.git\hooks\push-to-checkout.sample           | 33206 | 2023-01-20 16:40:38 | 1970-01-01 12:13:26 | 2023-01-20 15:40:14 | a53d0741798b287c6dd7afa64aee473f305e65d3f49463bb9d7408ec3b12bf5f |
| 27 |                D:\магистратура\123\123\.git\hooks\update.sample                | 33206 | 2023-01-20 16:40:38 | 1970-01-01 12:13:26 | 2023-01-20 15:40:14 | 8d5f2fa83e103cf08b57eaa67521df9194f45cbdbcb37da52ad586097a14d106 |
| 28 |                   D:\магистратура\123\123\.git\info\exclude                    | 33206 | 2023-01-20 16:40:38 | 1970-01-01 12:13:26 | 2023-01-20 15:40:14 | 6671fe83b7a07c8932ee89164d1f2793b2318058eb8b98dc5c06ee0a5a3b0ec1 |
| 29 |                     D:\магистратура\123\123\.git\logs\HEAD                     | 33206 | 2023-01-20 16:40:38 | 1970-01-01 12:13:26 | 2023-01-20 15:40:14 | 2fe61ffe188b09e38a654ad71d157634f773600cf385087dd9b51fb7f71387b8 |
| 30 |               D:\магистратура\123\123\.git\logs\refs\heads\main                | 33206 | 2023-01-20 16:40:38 | 1970-01-01 12:13:26 | 2023-01-20 15:40:14 | adc417c2e818316d87f214d264277267cbb9dfb5cb7a8eeccf6745005f8e5dec |
| 31 |           D:\магистратура\123\123\.git\logs\refs\remotes\origin\main           | 33206 | 2023-01-20 16:40:38 | 1970-01-01 12:13:26 | 2023-01-20 15:40:43 | db728b47f6d8abbbe4aafb8fab094eb5ddb085edb3b48ab51aedc57d6947e2d8 |
| 32 | D:\магистратура\123\123\.git\objects\10\500012fca9b4425b50de67a7258a12cba0c076 | 33060 | 2023-01-20 16:40:38 | 1970-01-01 12:11:00 | 2023-01-20 15:41:22 | c991d0fb580807daf37c0706fd058d0b342fcea173f53dc4fc1df55abda03733 |
| 33 | D:\магистратура\123\123\.git\objects\1d\975d392c609874ce8d5f5500513a4571060e3a | 33060 | 2023-01-20 16:40:38 | 1970-01-01 12:11:00 | 2023-01-20 15:41:22 | e583ab06504738dd9adae1db3db47c18424720747e9b50f713bafc9fe3ba19ed |
| 34 | D:\магистратура\123\123\.git\objects\1e\a19dee1945d4cb6c6f068b273ee0d93b689e37 | 33060 | 2023-01-20 16:40:38 | 1970-01-01 12:11:00 | 2023-01-20 15:41:45 | 677efa99bf0aafc29f3aa2c2bab00f6ce5f50da8a7bf7b5832e4579f15dc1e8e |
| 35 | D:\магистратура\123\123\.git\objects\2c\e1d78a5a2d213833b3d2ce5685f619f94402c1 | 33060 | 2023-01-20 16:40:38 | 1970-01-01 12:11:00 | 2023-01-20 15:41:45 | 013b0d6a9d2516da2960a1ef869623e173350b02613f84958fcf0f7426925885 |
| 36 | D:\магистратура\123\123\.git\objects\2d\3a8dc6b91c933dc0ca6482203389cae7f79ece | 33060 | 2023-01-20 16:40:38 | 1970-01-01 12:11:00 | 2023-01-20 15:41:22 | 142c5c995a82eed04a0a635ad937b04b28109aaed8de5e83a7b929eee0a4441a |
| 37 | D:\магистратура\123\123\.git\objects\38\ecf7386fe773084d0764ec0f5456b63f5f61e9 | 33060 | 2023-01-20 16:40:38 | 1970-01-01 12:11:00 | 2023-01-20 15:41:22 | 4ecaf57d695335d8546e9b2c5735a0fe146e8a9bfc28cbb68ba2407654930b6d |
| 38 | D:\магистратура\123\123\.git\objects\41\474203e6f69f3a6426b934f4f58a5abbb46008 | 33060 | 2023-01-20 16:40:38 | 1970-01-01 12:11:00 | 2023-01-20 15:41:22 | ec550f87dea9c2358c85e19070ea3e9e9960fc74095ee901e2dfbbe9df20dcd0 |
| 39 | D:\магистратура\123\123\.git\objects\43\09c5cb42782532a7e90ecbb90aa900def39c82 | 33060 | 2023-01-20 16:40:38 | 1970-01-01 12:11:00 | 2023-01-20 15:41:22 | 43e54d511fc32e0db9331fa639c5c64f2447ebb00a8602395c115e1883446a92 |
| 40 | D:\магистратура\123\123\.git\objects\49\2fecfa55483a2d4e8b52d57b98fafbabc04424 | 33060 | 2023-01-20 16:40:38 | 1970-01-01 12:11:00 | 2023-01-20 15:41:22 | 692ec2826cf7d8d00577302dfdb2916d89e9315e914a3f05fca7f2c21068ef3b |
| 41 | D:\магистратура\123\123\.git\objects\5b\ce455606290bddf83107098fd996c77dc89e8e | 33060 | 2023-01-20 16:40:38 | 1970-01-01 12:11:00 | 2023-01-20 15:41:22 | 4d0b45fcc44fccac8c3009c20a0120b9019bc0c4aea06571204cd2fa670ae349 |
| 42 | D:\магистратура\123\123\.git\objects\93\955ac639a5e74d67b14883962318d4f113ac65 | 33060 | 2023-01-20 16:40:38 | 1970-01-01 12:11:00 | 2023-01-20 15:40:14 | e7cdefa79b35de102a3ac1e0218ac5bf6cd41da16fe791a8f6b6a4de45386dd2 |
| 43 | D:\магистратура\123\123\.git\objects\94\1588dc05e73997cbece1666952fb22f25e0e7f | 33060 | 2023-01-20 16:40:38 | 1970-01-01 12:11:00 | 2023-01-20 15:41:22 | d08cc2d9df549bdf55abf5af7994f0ed891edb8a6446cb182ab7de607af07f65 |
| 44 | D:\магистратура\123\123\.git\objects\a2\01e8dc5233a9a9a96d271f16afc0cb5628f75e | 33060 | 2023-01-20 16:40:38 | 1970-01-01 12:11:00 | 2023-01-20 15:41:22 | b0443af1369c253b83e70895fe686ca811f11dd3d2b2ff31719a9b9925f70416 |
| 45 | D:\магистратура\123\123\.git\objects\a3\69a01a836e437ecf4851810ed768d1a0136e8e | 33060 | 2023-01-20 16:40:38 | 1970-01-01 12:11:00 | 2023-01-20 15:41:45 | e812a004b9913189b0fdc8ff3c5635c7a7b70fbb0b9269f60bb63dbed7ac5f05 |
| 46 | D:\магистратура\123\123\.git\objects\ba\6a12023c23665ba65ba9a364776bec686d6d02 | 33060 | 2023-01-20 16:40:38 | 1970-01-01 12:11:00 | 2023-01-20 15:41:45 | 17ca7fbf2e47265f4407a099c94e7536354d173a7c0918a9ffb033536c977381 |
| 47 | D:\магистратура\123\123\.git\objects\bb\3943fe16be87cb64f44ea0a8897a3e6c9de9a1 | 33060 | 2023-01-20 16:40:38 | 1970-01-01 12:11:00 | 2023-01-20 15:41:45 | e2ea3b228f3ca7b7b0c0ee149cee9978d588f984c4d19c2555de5c3da413d6a8 |
| 48 | D:\магистратура\123\123\.git\objects\e2\44e97e0def3d74d2e536254606a3804fc720ef | 33060 | 2023-01-20 16:40:38 | 1970-01-01 12:11:00 | 2023-01-20 15:41:22 | 3841254fcefac90ca1efa535d704502907822b007eaf3d379d4cc746c5dd840d |
| 49 | D:\магистратура\123\123\.git\objects\e6\9de29bb2d1d6434b8b29ae775ad8c2e48c5391 | 33060 | 2023-01-20 16:40:38 | 1970-01-01 12:11:00 | 2023-01-20 15:40:14 | 164c5fa8067facf1a43f09ce3d0e35ebf53a7f5723ecbf15a8667cfc53c26f6c |
| 50 | D:\магистратура\123\123\.git\objects\f9\3e3a1a1525fb5b91020da86e44810c87a2d7bc | 33060 | 2023-01-20 16:40:38 | 1970-01-01 12:11:00 | 2023-01-20 15:40:14 | e6d425bceb4bc8fb5a562c24044574e73d67e317d27a53ee5cf8f5965e860ba2 |
| 51 |                  D:\магистратура\123\123\.git\refs\heads\main                  | 33206 | 2023-01-20 16:40:38 | 1970-01-01 12:13:26 | 2023-01-20 15:41:45 | 065c6a968f5ab7aecb50104ec2b22c49b155833a81d5522107a96209ef034bbb |
| 52 |               D:\магистратура\123\123\depth2\depth3\lala2222.txt               | 33206 | 2023-01-20 16:40:38 | 1970-01-01 12:13:26 | 2023-01-20 14:46:08 | af4764571f217a9bd2c50d8e97c54239bcacb15c835100e59fda84cb33603d14 |
| 53 |          D:\магистратура\123\123\__pycache__\database.cpython-310.pyc          | 33206 | 2023-01-20 16:40:38 | 1970-01-01 12:13:26 | 2023-01-20 14:47:25 | be3911d6db67ff024acd309c88c7c716a7661402638f03d7f1198ad029729744 |
| 54 |          D:\магистратура\123\123\__pycache__\database.cpython-39.pyc           | 33206 | 2023-01-20 16:40:38 | 1970-01-01 12:13:26 | 2023-01-20 14:46:08 | 880731071163f2cef61a46e54450f139384ca0d8099dc6313e8268eb11585143 |
+----+--------------------------------------------------------------------------------+-------+---------------------+---------------------+---------------------+------------------------------------------------------------------+
